"id","id_competition","competition_name","competition_official_name","competition_initial_date","competition_final_date","competition_url_image","competition_url_image_negative","id_edition","edition_year","id_phase","id_subphase","id_round","id_matchweek","id_match","period","id_edition_license_team","is_local","id_team","id_local_team","local_team_id_team_denomination","local_team_team_actual_name","local_team_team_actual_short_name","local_team_team_abbrev_name","id_visitor_team","visitor_team_id_team_denomination","visitor_team_team_actual_name","visitor_team_team_actual_short_name","visitor_team_team_abbrev_name","match_number","points","time_played","3pt_success","3pt_tried","3pt_percentage","2pt_success","2pt_tried","2pt_percentage","1pt_success","1pt_tried","1pt_percentage","defensive_rebound","offensive_rebound","total_rebound","asis","steals","turnovers","counter_attack","blocks","received_blocks","dunks","personal_fouls","received_fouls","val","differential","tournament_number2","defeats","victories","tie","team_score","rival_team_score","timeouts","time_as_leader","leader_changes","maximun_difference","points_after_steal","points_in_the_paint","second_opportinity_points","bench_points","best_streak"
1477724,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11234,NA,NA,TRUE,1284,1284,103,"FC Barcelona","FC Barcelona","FCB",1290,1200,"Jabones Pardo Fuenlabrada","Jabones Pardo","FUE",1,93,12000,5,11,45.45,30,56,53.57,18,30,60,28,10,38,12,9,6,0,2,1,1,23,27,107,0,0,0,1,0,93,47,0,NA,0,0,0,0,0,0,0
1477725,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11234,NA,NA,FALSE,1290,1284,103,"FC Barcelona","FC Barcelona","FCB",1290,1200,"Jabones Pardo Fuenlabrada","Jabones Pardo","FUE",1,47,12000,1,15,6.67,17,38,44.74,10,18,55.56,20,9,29,6,4,23,0,1,2,0,27,23,15,0,0,1,0,0,47,93,0,NA,0,0,0,0,0,0,0
1477600,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11229,NA,NA,TRUE,1297,1297,961,"Pamesa Valencia","Pamesa Valencia","PAM",1299,1129,"Caja San Fernando","C. San Fernando","CSF",1,81,12000,2,13,15.38,34,48,70.83,7,14,50,22,4,26,19,10,11,0,2,4,3,24,21,88,0,0,0,1,0,81,69,0,NA,0,0,0,0,0,0,0
1477601,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11229,NA,NA,FALSE,1299,1297,961,"Pamesa Valencia","Pamesa Valencia","PAM",1299,1129,"Caja San Fernando","C. San Fernando","CSF",1,69,12000,4,15,26.67,19,36,52.78,19,25,76,21,9,30,7,7,19,0,4,2,1,21,24,65,0,0,1,0,0,69,81,0,NA,0,0,0,0,0,0,0
1477526,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11226,NA,NA,TRUE,1283,1283,1281,"Lucentum Alicante","Lucentum","ALI",1289,463,"Adecco Estudiantes","Adecco Estu","EST",1,60,12000,6,23,26.09,15,33,45.45,12,17,70.59,31,7,38,13,11,16,0,3,2,0,28,18,57,0,0,1,0,0,60,67,0,NA,0,0,0,0,0,0,0
1477527,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11226,NA,NA,FALSE,1289,1283,1281,"Lucentum Alicante","Lucentum","ALI",1289,463,"Adecco Estudiantes","Adecco Estu","EST",1,67,12000,6,23,26,15,39,38,19,29,65,30,16,46,11,14,14,0,2,3,2,18,28,82,0,0,0,10,0,67,60,0,0,0,0,0,0,0,0,0
1477649,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11231,NA,NA,TRUE,1295,1295,761,"Real Madrid","Real Madrid","RMB",1287,1375,"Cáceres CB","Cáceres CB","CAC",1,91,12000,10,22,45,23,35,65,15,18,83,32,11,43,16,6,20,0,6,0,0,17,17,115,0,0,0,12,0,91,58,0,0,0,0,0,0,0,0,0
1477650,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11231,NA,NA,FALSE,1287,1295,761,"Real Madrid","Real Madrid","RMB",1287,1375,"Cáceres CB","Cáceres CB","CAC",1,58,12000,2,13,15.38,21,49,42.86,10,15,66.67,15,8,23,6,14,15,0,0,6,1,17,17,36,0,0,1,0,0,58,91,0,NA,0,0,0,0,0,0,0
1477674,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11232,NA,NA,TRUE,1294,1294,1610,"Caprabo Lleida","Caprabo Lleida","LLE",1291,1468,"Casademont Girona","Casademont Gir.","GIR",1,80,12000,2,14,14.29,22,44,50,30,41,73.17,27,16,43,8,8,14,0,3,4,1,22,33,90,0,0,0,1,0,80,75,0,NA,0,0,0,0,0,0,0
1477675,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11232,NA,NA,FALSE,1291,1294,1610,"Caprabo Lleida","Caprabo Lleida","LLE",1291,1468,"Casademont Girona","Casademont Gir.","GIR",1,75,12000,8,18,44,19,43,44,13,17,76,21,6,27,6,9,13,0,4,3,3,33,22,56,0,0,11,0,0,75,80,0,0,0,0,0,0,0,0,0
1477575,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11228,NA,NA,TRUE,1293,1293,627,"DKV Joventut","DKV Joventut","DKV",1285,216,"TAU Cerámica","TAU Cerámica","TAU",1,73,12000,6,19,31,21,39,53,13,14,92,27,7,34,12,5,17,0,8,2,8,22,21,80,0,0,11,0,0,73,74,0,0,0,0,0,0,0,0,0
1477576,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11228,NA,NA,FALSE,1285,1293,627,"DKV Joventut","DKV Joventut","DKV",1285,216,"TAU Cerámica","TAU Cerámica","TAU",1,74,12000,7,21,33.33,20,45,44.44,13,19,68.42,20,11,31,12,15,7,0,2,8,1,21,22,75,0,0,0,1,0,74,73,0,NA,0,0,0,0,0,0,0
1477552,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11227,NA,NA,TRUE,1286,1286,1356,"Leche Río Breogán","Leche Río Bre.","BRE",1298,1056,"Unicaja","Unicaja","UNI",1,78,12000,5,12,41,22,45,48,19,28,67,20,13,33,9,10,17,0,5,2,2,22,27,82,0,0,9,0,0,78,79,0,0,0,0,0,0,0,0,0
1477553,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11227,NA,NA,FALSE,1298,1286,1356,"Leche Río Breogán","Leche Río Bre.","BRE",1298,1056,"Unicaja","Unicaja","UNI",1,79,12000,8,20,40,21,49,42,13,19,68,19,16,35,11,7,17,0,2,5,3,27,22,61,0,0,0,13,0,79,78,0,0,0,0,0,0,0,0,0
1477623,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11230,NA,NA,TRUE,1300,1300,1851,"Fórum Valladolid","Fórum Vall.","FOR",1292,5,"CB Granada","CB Granada","GRA",1,89,12000,9,22,40.91,25,44,56.82,12,14,85.71,28,9,37,13,6,14,0,4,4,0,23,19,93,0,0,0,1,0,89,71,0,NA,0,0,0,0,0,0,0
1477624,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11230,NA,NA,FALSE,1292,1300,1851,"Fórum Valladolid","Fórum Vall.","FOR",1292,5,"CB Granada","CB Granada","GRA",1,71,12000,8,25,32,16,35,45.71,15,18,83.33,23,6,29,9,7,17,0,4,4,0,19,23,64,0,0,1,0,0,71,89,0,NA,0,0,0,0,0,0,0
1477698,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11233,NA,NA,TRUE,1288,1288,337,"Auna Gran Canaria","Auna G. Canaria","GCA",1296,866,"Ricoh Manresa","Ricoh Manresa","MAN",1,82,12000,8,21,38.1,22,47,46.81,14,28,50,29,16,45,14,11,13,0,2,4,1,22,23,86,0,0,0,1,0,82,57,0,NA,0,0,0,0,0,0,0
1477699,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1796,11233,NA,NA,FALSE,1296,1288,337,"Auna Gran Canaria","Auna G. Canaria","GCA",1296,866,"Ricoh Manresa","Ricoh Manresa","MAN",1,57,12000,4,18,22.22,17,41,41.46,11,20,55,23,11,34,9,9,22,0,4,2,0,23,22,41,0,0,1,0,0,57,82,0,NA,0,0,0,0,0,0,0
1477791,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11237,NA,NA,TRUE,1291,1291,1468,"Casademont Girona","Casademont Gir.","GIR",1288,337,"Auna Gran Canaria","Auna G. Canaria","GCA",1,100,12000,8,11,72,29,46,63,18,24,75,24,10,34,11,9,16,0,1,0,1,17,22,118,0,0,0,10,0,100,96,0,0,0,0,0,0,0,0,0
1477792,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11237,NA,NA,FALSE,1288,1291,1468,"Casademont Girona","Casademont Gir.","GIR",1288,337,"Auna Gran Canaria","Auna G. Canaria","GCA",1,96,12000,15,28,53.57,22,41,53.66,7,13,53.85,12,11,23,16,9,11,0,0,1,0,22,17,89,0,0,1,0,0,96,100,0,NA,0,0,0,0,0,0,0
1477937,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11243,NA,NA,TRUE,1289,1289,463,"Adecco Estudiantes","Adecco Estu","EST",1286,1356,"Leche Río Breogán","Leche Río Bre.","BRE",1,109,12000,13,30,43,27,42,64,16,17,94,20,13,33,20,10,10,0,3,5,2,24,24,127,0,0,0,10,0,109,70,0,0,0,0,0,0,0,0,0
1477938,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11243,NA,NA,FALSE,1286,1289,463,"Adecco Estudiantes","Adecco Estu","EST",1286,1356,"Leche Río Breogán","Leche Río Bre.","BRE",1,70,12000,4,17,23,22,36,61,14,23,60,20,6,26,9,8,23,0,5,3,1,24,24,56,0,0,10,0,0,70,109,0,0,0,0,0,0,0,0,0
1477768,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11236,NA,NA,TRUE,1296,1296,866,"Ricoh Manresa","Ricoh Manresa","MAN",1284,103,"FC Barcelona","FC Barcelona","FCB",1,73,12000,11,23,47.83,13,33,39.39,14,17,82.35,19,7,26,15,8,17,0,3,3,0,29,21,62,0,0,0,1,0,73,71,0,NA,0,0,0,0,0,0,0
1477769,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11236,NA,NA,FALSE,1284,1296,866,"Ricoh Manresa","Ricoh Manresa","MAN",1284,103,"FC Barcelona","FC Barcelona","FCB",1,71,12000,11,23,47.83,9,23,39.13,20,29,68.97,24,6,30,14,13,20,0,3,3,0,21,29,81,0,0,1,0,0,71,73,0,NA,0,0,0,0,0,0,0
1477913,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11242,NA,NA,TRUE,1298,1298,1056,"Unicaja","Unicaja","UNI",1293,627,"DKV Joventut","DKV Joventut","DKV",1,73,12000,6,25,24,21,42,50,13,19,68,20,13,33,12,12,13,0,6,5,5,22,20,70,0,0,12,0,0,73,74,0,0,0,0,0,0,0,0,0
1477914,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11242,NA,NA,FALSE,1293,1298,1056,"Unicaja","Unicaja","UNI",1293,627,"DKV Joventut","DKV Joventut","DKV",1,74,12000,4,11,36,25,45,55,12,22,54,27,12,39,10,10,16,0,5,6,3,20,22,81,0,0,0,12,0,74,73,0,0,0,0,0,0,0,0,0
1477886,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11241,NA,NA,TRUE,1285,1285,216,"TAU Cerámica","TAU Cerámica","TAU",1297,961,"Pamesa Valencia","Pamesa Valencia","PAM",1,74,12000,2,14,14.29,24,40,60,20,24,83.33,15,7,22,14,5,14,0,1,3,5,23,22,66,0,0,1,0,0,74,92,0,NA,0,0,0,0,0,0,0
1477887,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11241,NA,NA,FALSE,1297,1285,216,"TAU Cerámica","TAU Cerámica","TAU",1297,961,"Pamesa Valencia","Pamesa Valencia","PAM",1,92,12000,5,16,31.25,29,57,50.88,19,25,76,19,23,42,16,12,14,0,3,1,3,22,23,106,0,0,0,1,0,92,74,0,NA,0,0,0,0,0,0,0
1477746,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11235,NA,NA,FALSE,1283,1290,1200,"Jabones Pardo Fuenlabrada","Jabones Pardo","FUE",1283,1281,"Lucentum Alicante","Lucentum","ALI",1,82,12000,7,25,28,23,44,52.27,15,20,75,21,13,34,18,8,11,0,3,0,0,25,21,86,0,0,1,0,0,82,89,0,NA,0,0,0,0,0,0,0
1477745,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11235,NA,NA,TRUE,1290,1290,1200,"Jabones Pardo Fuenlabrada","Jabones Pardo","FUE",1283,1281,"Lucentum Alicante","Lucentum","ALI",1,89,12000,11,23,47.83,20,34,58.82,16,17,94.12,17,6,23,12,3,14,0,0,3,1,21,25,87,0,0,0,1,0,89,82,0,NA,0,0,0,0,0,0,0
1477862,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11240,NA,NA,TRUE,1299,1299,1129,"Caja San Fernando","C. San Fernando","CSF",1300,1851,"Fórum Valladolid","Fórum Vall.","FOR",1,70,12000,8,22,36.36,16,40,40,14,21,66.67,33,8,41,15,7,11,0,1,2,1,24,19,71,0,0,0,1,0,70,68,0,NA,0,0,0,0,0,0,0
1477863,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11240,NA,NA,FALSE,1300,1299,1129,"Caja San Fernando","C. San Fernando","CSF",1300,1851,"Fórum Valladolid","Fórum Vall.","FOR",1,68,12000,5,22,22.73,18,34,52.94,17,25,68,31,2,33,12,6,10,0,2,1,2,19,24,74,0,0,1,0,0,68,70,0,NA,0,0,0,0,0,0,0
1477813,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11238,NA,NA,TRUE,1287,1287,1375,"Cáceres CB","Cáceres CB","CAC",1294,1610,"Caprabo Lleida","Caprabo Lleida","LLE",1,77,12000,9,29,31.03,22,37,59.46,6,10,60,20,9,29,13,6,13,0,3,1,1,30,17,62,0,0,1,0,0,77,85,0,NA,0,0,0,0,0,0,0
1477814,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11238,NA,NA,FALSE,1294,1287,1375,"Cáceres CB","Cáceres CB","CAC",1294,1610,"Caprabo Lleida","Caprabo Lleida","LLE",1,85,12000,1,10,10,30,49,61.22,22,30,73.33,27,11,38,13,8,12,0,1,3,4,17,30,107,0,0,0,1,0,85,77,0,NA,0,0,0,0,0,0,0
1477840,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11239,NA,NA,FALSE,1295,1292,5,"CB Granada","CB Granada","GRA",1295,761,"Real Madrid","Real Madrid","RMB",1,87,12000,10,22,45,19,35,54,19,26,73,24,11,35,18,9,20,0,3,3,3,27,23,90,0,0,0,11,0,87,78,0,0,0,0,0,0,0,0,0
1477839,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1797,11239,NA,NA,TRUE,1292,1292,5,"CB Granada","CB Granada","GRA",1295,761,"Real Madrid","Real Madrid","RMB",1,78,12000,5,13,38.46,20,48,41.67,23,29,79.31,19,10,29,7,13,14,0,3,3,1,23,27,75,0,0,1,0,0,78,87,0,NA,0,0,0,0,0,0,0
1478106,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11250,NA,NA,TRUE,1288,1288,337,"Auna Gran Canaria","Auna G. Canaria","GCA",1287,1375,"Cáceres CB","Cáceres CB","CAC",1,80,12000,8,19,42.11,20,40,50,16,26,61.54,24,7,31,13,10,13,0,4,1,0,18,24,89,0,0,0,1,0,80,63,0,NA,0,0,0,0,0,0,0
1478107,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11250,NA,NA,FALSE,1287,1288,337,"Auna Gran Canaria","Auna G. Canaria","GCA",1287,1375,"Cáceres CB","Cáceres CB","CAC",1,63,12000,3,23,13.04,22,37,59.46,10,20,50,27,10,37,13,10,20,0,1,4,3,24,18,49,0,0,1,0,0,63,80,0,NA,0,0,0,0,0,0,0
1477986,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11245,NA,NA,TRUE,1293,1293,627,"DKV Joventut","DKV Joventut","DKV",1289,463,"Adecco Estudiantes","Adecco Estu","EST",1,70,12000,6,19,31.58,14,25,56,24,30,80,25,8,33,14,6,26,0,1,3,3,26,27,66,0,0,1,0,0,70,81,0,NA,0,0,0,0,0,0,0
1477987,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11245,NA,NA,FALSE,1289,1293,627,"DKV Joventut","DKV Joventut","DKV",1289,463,"Adecco Estudiantes","Adecco Estu","EST",1,81,12000,9,31,29,19,41,46,16,25,64,17,21,38,8,15,13,0,3,1,3,27,26,77,0,0,0,10,0,81,70,0,0,0,0,0,0,0,0,0
1478060,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11248,NA,NA,FALSE,1299,1295,761,"Real Madrid","Real Madrid","RMB",1299,1129,"Caja San Fernando","C. San Fernando","CSF",1,72,12000,2,14,14.29,25,43,58.14,16,19,84.21,32,11,43,7,12,16,0,3,4,3,16,20,88,0,0,0,1,0,72,59,0,NA,0,0,0,0,0,0,0
1478059,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11248,NA,NA,TRUE,1295,1295,761,"Real Madrid","Real Madrid","RMB",1299,1129,"Caja San Fernando","C. San Fernando","CSF",1,59,12000,8,22,36,13,37,35,9,15,60,22,8,30,8,8,15,0,4,3,1,20,16,43,0,0,10,0,0,59,72,0,0,0,0,0,0,0,0,0
1477962,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11244,NA,NA,TRUE,1283,1283,1281,"Lucentum Alicante","Lucentum","ALI",1286,1356,"Leche Río Breogán","Leche Río Bre.","BRE",1,89,12000,7,16,43.75,21,35,60,26,32,81.25,15,8,23,15,11,21,0,0,2,1,29,29,86,0,0,0,1,0,89,85,0,NA,0,0,0,0,0,0,0
1477963,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11244,NA,NA,FALSE,1286,1283,1281,"Lucentum Alicante","Lucentum","ALI",1286,1356,"Leche Río Breogán","Leche Río Bre.","BRE",1,85,12000,5,20,25,24,46,52,22,28,78,17,24,41,6,13,22,0,2,0,0,29,29,82,0,0,10,0,0,85,89,0,0,0,0,0,0,0,0,0
1478131,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11251,NA,NA,FALSE,1291,1284,103,"FC Barcelona","FC Barcelona","FCB",1291,1468,"Casademont Girona","Casademont Gir.","GIR",1,62,12000,5,14,35,16,48,33,15,22,68,21,18,39,4,4,11,0,1,4,0,20,21,48,0,0,10,0,0,62,75,0,0,0,0,0,0,0,0,0
1478130,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11251,NA,NA,TRUE,1284,1284,103,"FC Barcelona","FC Barcelona","FCB",1291,1468,"Casademont Girona","Casademont Gir.","GIR",1,75,12000,7,14,50,22,44,50,10,17,58.82,22,10,32,14,8,10,0,4,1,1,21,20,85,0,0,0,1,0,75,62,0,NA,0,0,0,0,0,0,0
1478011,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11246,NA,NA,TRUE,1297,1297,961,"Pamesa Valencia","Pamesa Valencia","PAM",1298,1056,"Unicaja","Unicaja","UNI",1,68,12000,5,16,31.25,21,50,42,11,18,61.11,23,17,40,12,9,17,0,4,2,0,20,21,68,0,0,1,0,0,68,69,0,NA,0,0,0,0,0,0,0
1478012,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11246,NA,NA,FALSE,1298,1297,961,"Pamesa Valencia","Pamesa Valencia","PAM",1298,1056,"Unicaja","Unicaja","UNI",1,69,12000,6,18,33,19,37,51,13,16,81,22,9,31,12,13,17,0,2,4,1,21,20,72,0,0,0,12,0,69,68,0,0,0,0,0,0,0,0,0
1478083,1,"Liga Nacional","Liga Endesa",-402534000,NA,"https://www.acb.com/Documentos/Cabeceras/logo-competicion-1b.png","https://www.acb.com/Documentos/Cabeceras/logo-competicion-4a.png",67,2002,107,NA,NA,1798,11249,NA,NA,TRUE,1294,1294,1610,"Caprabo Lleida","Caprabo Lleida","LLE",1292,5,"CB Granada","CB Granada","GRA",1,88,12000,12,23,52.17,19,31,61.29,14,26,53.85,26,8,34,11,6,16,0,8,1,3,23,24,96,0,0,0,1,0,88,81,0,NA,0,0,0,0,0,0,0
